wave,40_30_30
1.015,0.070386911
1.016,0.070385901
1.017,0.070384897
1.018,0.070383899
1.019,0.070382907
1.02,0.070381921
1.021,0.070381315
1.022,0.070380714
1.023,0.070380118
1.024,0.070379527
1.025,0.070378941
1.026,0.07037836
1.027,0.070377785
1.028,0.070377214
1.029,0.070376648
1.03,0.070376088
1.031,0.070376733
1.032,0.070377383
1.033,0.070378038
1.034,0.070378697
1.035,0.070379361
1.036,0.070380031
1.037,0.070380705
1.038,0.070381383
1.039,0.070382067
1.04,0.070382756
1.041,0.070382768
1.042,0.070382785
1.043,0.070382805
1.044,0.070382829
1.045,0.070382858
1.046,0.070382891
1.047,0.070382927
1.048,0.070382968
1.049,0.070383012
1.05,0.070383061
1.051,0.070383221
1.052,0.070383384
1.053,0.070383552
1.054,0.070383723
1.055,0.070383898
1.056,0.070384077
1.057,0.070384259
1.058,0.070384446
1.059,0.070384636
1.06,0.070384831
1.061,0.070384901
1.062,0.070384976
1.063,0.070385056
1.064,0.070385139
1.065,0.070385226
1.066,0.070385317
1.067,0.070385413
1.068,0.070385512
1.069,0.070385667
1.07,0.07038629
1.071,0.070387779
1.072,0.070389272
1.073,0.070390769
1.074,0.070392271
1.075,0.070393778
1.076,0.070395288
1.077,0.070396804
1.078,0.070398324
1.079,0.070399848
1.08,0.070401377
1.081,0.070401756
1.082,0.07040214
1.083,0.070402528
1.084,0.070402921
1.085,0.070403319
1.086,0.070403721
1.087,0.070404127
1.088,0.070404538
1.089,0.070404954
1.09,0.070405375
1.091,0.070405841
1.092,0.070406312
1.093,0.070406787
1.094,0.070407267
1.095,0.070407752
1.096,0.070408241
1.097,0.070408734
1.098,0.070409232
1.099,0.070409734
1.1,0.070410241
1.101,0.070411601
1.102,0.070412965
1.103,0.070414334
1.104,0.070415708
1.105,0.070417087
1.106,0.070418471
1.107,0.07041986
1.108,0.070421254
1.109,0.070422653
1.11,0.070424057
1.111,0.070424434
1.112,0.070424816
1.113,0.070425202
1.114,0.070425594
1.115,0.07042599
1.116,0.070426392
1.117,0.070426798
1.118,0.070427209
1.119,0.070427625
1.12,0.070428045
1.121,0.07042815
1.122,0.07042826
1.123,0.070428375
1.124,0.070428496
1.125,0.070428622
1.126,0.070428754
1.127,0.070428891
1.128,0.070429033
1.129,0.070429181
1.13,0.070429334
1.131,0.070429513
1.132,0.070429696
1.133,0.070429885
1.134,0.07043008
1.135,0.07043028
1.136,0.070430485
1.137,0.070430695
1.138,0.070430911
1.139,0.070431132
1.14,0.070431358
1.141,0.070432959
1.142,0.070434564
1.143,0.070436174
1.144,0.070437789
1.145,0.070439409
1.146,0.070441033
1.147,0.070442663
1.148,0.070444297
1.149,0.070445936
1.15,0.07044758
1.151,0.070446808
1.152,0.070446043
1.153,0.070445292
1.154,0.070444608
1.155,0.070443931
1.156,0.070443261
1.157,0.070442598
1.158,0.070441943
1.159,0.070441294
1.16,0.070440653
1.161,0.070439921
1.162,0.070439198
1.163,0.070438481
1.164,0.070437772
1.165,0.07043707
1.166,0.070436375
1.167,0.070435688
1.168,0.070435007
1.169,0.070434334
1.17,0.070433668
1.171,0.07043276
1.172,0.07043186
1.173,0.070430967
1.174,0.070430082
1.175,0.070429205
1.176,0.070428335
1.177,0.070427473
1.178,0.070426618
1.179,0.070425771
1.18,0.070424931
1.181,0.070423985
1.182,0.070423047
1.183,0.070422117
1.184,0.070421194
1.185,0.070420279
1.186,0.070419371
1.187,0.070418472
1.188,0.07041758
1.189,0.070416695
1.19,0.070415819
1.191,0.070415025
1.192,0.070414239
1.193,0.07041346
1.194,0.070412689
1.195,0.070411925
1.196,0.070411169
1.197,0.070410421
1.198,0.070409679
1.199,0.070408945
1.2,0.070408219
1.201,0.07040667
1.202,0.070405132
1.203,0.070403604
1.204,0.070402087
1.205,0.070400581
1.206,0.070399085
1.207,0.0703976
1.208,0.070396126
1.209,0.070394662
1.21,0.070393209
1.211,0.070391489
1.212,0.070389778
1.213,0.070388077
1.214,0.070386384
1.215,0.070384701
1.216,0.070383027
1.217,0.070381362
1.218,0.070379707
1.219,0.07037806
1.22,0.070376423
1.221,0.070375601
1.222,0.070374787
1.223,0.070373981
1.224,0.070373182
1.225,0.070372391
1.226,0.070371608
1.227,0.070370832
1.228,0.070370064
1.229,0.070369303
1.23,0.07036855
1.231,0.070368168
1.232,0.070367793
1.233,0.070367425
1.234,0.070367064
1.235,0.070366709
1.236,0.070366362
1.237,0.070366022
1.238,0.070365622
1.239,0.07036523
1.24,0.070364844
1.241,0.070364826
1.242,0.070364813
1.243,0.070364808
1.244,0.070364808
1.245,0.070364814
1.246,0.070364827
1.247,0.070364846
1.248,0.070364872
