wave,wave_nm,100_0_0,0_100_0,0_0_100,40_20_40,20_50_30
1.023,1023,0.461639908,0.086055414,0.940083392,0.348744894,0.207054473
1.024,1024,0.461814384,0.086170766,0.940009334,0.348877499,0.207176921
1.025,1025,0.46198867,0.086265391,0.939935516,0.348994778,0.207279554
1.026,1026,0.462162766,0.086374228,0.939861939,0.34912237,0.207395673
1.027,1027,0.462336673,0.086563898,0.939788601,0.349309424,0.207588971
1.028,1028,0.462510392,0.086669146,0.939715499,0.349434383,0.20770173
1.029,1029,0.462683922,0.086749736,0.939642634,0.349541133,0.20779093
1.03,1030,0.462857265,0.086837893,0.939570004,0.349653298,0.207887265
1.031,1031,0.463030419,0.086941217,0.939598214,0.349778963,0.207999546
1.032,1032,0.463203387,0.087091653,0.939626385,0.349939223,0.208156776
1.033,1033,0.463376167,0.087200468,0.939654515,0.350068878,0.208274321
1.034,1034,0.463548761,0.087299064,0.939682606,0.350190871,0.208382029
1.035,1035,0.463721169,0.087464024,0.939710656,0.350361514,0.208552979
1.036,1036,0.463893391,0.087631978,0.939738666,0.350534356,0.208726816
1.037,1037,0.464065427,0.087748107,0.939766637,0.350669074,0.208851217
1.038,1038,0.464237279,0.087897975,0.939794567,0.350828442,0.20900772
1.039,1039,0.464408945,0.088042617,0.939822459,0.350983925,0.209159235
1.04,1040,0.464580427,0.088189028,0.93985031,0.351140619,0.209312398
1.041,1041,0.464751725,0.088314641,0.940078388,0.351282317,0.2094453
1.042,1042,0.464922839,0.088428886,0.940306985,0.351415598,0.209567339
1.043,1043,0.465093769,0.088544769,0.940536109,0.35154989,0.209690819
1.044,1044,0.465264517,0.088721435,0.940765767,0.351728661,0.209872172
1.045,1045,0.465435082,0.088888754,0.940995966,0.351900649,0.210044705
1.046,1046,0.465605464,0.088997037,0.941226715,0.352029241,0.210160937
1.047,1047,0.465775664,0.089134936,0.941458019,0.352179529,0.210305401
1.048,1048,0.465945683,0.08920738,0.941689889,0.352281759,0.21038748
1.049,1049,0.46611552,0.089320911,0.94192233,0.352413919,0.210508583
