Model: , Shkurtov mixing model of optical constants,,,,,,,
Timestamp: ,9/20/2022 10:14,,,,,,,
,Compound,Molecular Formula,Grainsize (micron),Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Ammonia,NH3,100,100,77-88K,0.4-5.2 micron,"Martonchik, 1984",https://doi.org/10.1364/AO.23.000541
,,,,,,,,
wave,Ammonia,,,,,,,
0.934,0.405337872,,,,,,,
0.935,0.405440819,,,,,,,
0.936,0.405543599,,,,,,,
0.937,0.405646215,,,,,,,
0.938,0.405748665,,,,,,,
0.939,0.405850951,,,,,,,
0.94,0.405953072,,,,,,,
0.941,0.406055029,,,,,,,
0.942,0.406156823,,,,,,,
0.943,0.406258453,,,,,,,
0.944,0.406359921,,,,,,,
0.945,0.406461226,,,,,,,
0.946,0.40656237,,,,,,,
0.947,0.406663352,,,,,,,
0.948,0.406764173,,,,,,,
0.949,0.406864833,,,,,,,
0.95,0.406965332,,,,,,,
0.951,0.407065672,,,,,,,
0.952,0.407165852,,,,,,,
0.953,0.407265873,,,,,,,
0.954,0.407365735,,,,,,,
0.955,0.407465439,,,,,,,
0.956,0.407564984,,,,,,,
0.957,0.407664372,,,,,,,
0.958,0.407763602,,,,,,,
0.959,0.407862676,,,,,,,
0.96,0.407961593,,,,,,,
0.961,0.408060354,,,,,,,
0.962,0.408158959,,,,,,,
0.963,0.408257409,,,,,,,
0.964,0.408355704,,,,,,,
0.965,0.408453844,,,,,,,
0.966,0.40855183,,,,,,,
0.967,0.408649661,,,,,,,
0.968,0.40874734,,,,,,,
0.969,0.408844865,,,,,,,
0.97,0.408942237,,,,,,,
0.971,0.409039457,,,,,,,
0.972,0.409136525,,,,,,,
0.973,0.40923344,,,,,,,
0.974,0.409330205,,,,,,,
0.975,0.409426819,,,,,,,
0.976,0.409523282,,,,,,,
0.977,0.409619594,,,,,,,
0.978,0.409715757,,,,,,,
0.979,0.40981177,,,,,,,
0.98,0.409907634,,,,,,,
0.981,0.410003349,,,,,,,
0.982,0.410098915,,,,,,,
0.983,0.410194334,,,,,,,
0.984,0.410289604,,,,,,,
0.985,0.410384727,,,,,,,
0.986,0.410479703,,,,,,,
0.987,0.410574532,,,,,,,
0.988,0.410669215,,,,,,,
0.989,0.410763751,,,,,,,
0.99,0.410858142,,,,,,,
0.991,0.410952387,,,,,,,
0.992,0.411046488,,,,,,,
0.993,0.411140443,,,,,,,
0.994,0.411234254,,,,,,,
0.995,0.411327921,,,,,,,
0.996,0.411421445,,,,,,,
0.997,0.411514825,,,,,,,
0.998,0.411608062,,,,,,,
0.999,0.411701156,,,,,,,
1,0.411794108,,,,,,,
1.001,0.411886918,,,,,,,
1.002,0.411979586,,,,,,,
1.003,0.412072113,,,,,,,
1.004,0.412164498,,,,,,,
1.005,0.412256743,,,,,,,
1.006,0.412348848,,,,,,,
1.007,0.412440812,,,,,,,
1.008,0.412532637,,,,,,,
1.009,0.412624322,,,,,,,
1.01,0.412715869,,,,,,,
1.011,0.412807276,,,,,,,
1.012,0.412898545,,,,,,,
1.013,0.412989676,,,,,,,
1.014,0.413080668,,,,,,,
1.015,0.413171524,,,,,,,
1.016,0.413262242,,,,,,,
1.017,0.413352823,,,,,,,
1.018,0.413443268,,,,,,,
1.019,0.413533576,,,,,,,
1.02,0.413623749,,,,,,,
1.021,0.413713786,,,,,,,
1.022,0.413803687,,,,,,,
1.023,0.413893454,,,,,,,
1.024,0.413983086,,,,,,,
1.025,0.414072583,,,,,,,
1.026,0.414161946,,,,,,,
1.027,0.414251176,,,,,,,
1.028,0.414340272,,,,,,,
1.029,0.414429235,,,,,,,
1.03,0.414518065,,,,,,,
1.031,0.414606762,,,,,,,
1.032,0.414695327,,,,,,,
1.033,0.41478376,,,,,,,
1.034,0.414872062,,,,,,,
1.035,0.414960232,,,,,,,
1.036,0.415048271,,,,,,,
1.037,0.415136179,,,,,,,
1.038,0.415223956,,,,,,,
1.039,0.415311604,,,,,,,
1.04,0.415399121,,,,,,,
1.041,0.415486509,,,,,,,
1.042,0.415573768,,,,,,,
1.043,0.415660898,,,,,,,
1.044,0.415747898,,,,,,,
1.045,0.415834771,,,,,,,
1.046,0.415921515,,,,,,,
1.047,0.416008131,,,,,,,
1.048,0.41609462,,,,,,,
1.049,0.416180982,,,,,,,
1.05,0.416267216,,,,,,,
1.051,0.416353324,,,,,,,
1.052,0.416439305,,,,,,,
1.053,0.41652516,,,,,,,
1.054,0.416610889,,,,,,,
1.055,0.416696493,,,,,,,
1.056,0.416781971,,,,,,,
1.057,0.416867324,,,,,,,
1.058,0.416952553,,,,,,,
1.059,0.417037657,,,,,,,
1.06,0.417122636,,,,,,,
1.061,0.417207492,,,,,,,
1.062,0.417292224,,,,,,,
1.063,0.417376833,,,,,,,
1.064,0.417461318,,,,,,,
1.065,0.417545681,,,,,,,
1.066,0.417629921,,,,,,,
1.067,0.417714039,,,,,,,
1.068,0.417798034,,,,,,,
1.069,0.417881908,,,,,,,
1.07,0.417965661,,,,,,,
1.071,0.418049292,,,,,,,
1.072,0.418132802,,,,,,,
1.073,0.418216192,,,,,,,
1.074,0.418299461,,,,,,,
1.075,0.41838261,,,,,,,
1.076,0.418465639,,,,,,,
1.077,0.418548548,,,,,,,
1.078,0.418631338,,,,,,,
1.079,0.418714009,,,,,,,
1.08,0.41879656,,,,,,,
1.081,0.418878994,,,,,,,
1.082,0.418961309,,,,,,,
1.083,0.419043505,,,,,,,
1.084,0.419125584,,,,,,,
1.085,0.419207546,,,,,,,
1.086,0.41928939,,,,,,,
1.087,0.419371117,,,,,,,
1.088,0.419452727,,,,,,,
1.089,0.419534221,,,,,,,
1.09,0.419615598,,,,,,,
1.091,0.419696859,,,,,,,
1.092,0.419778005,,,,,,,
1.093,0.419859035,,,,,,,
1.094,0.419939949,,,,,,,
1.095,0.420020749,,,,,,,
1.096,0.420101433,,,,,,,
1.097,0.420182003,,,,,,,
1.098,0.420262459,,,,,,,
1.099,0.420342801,,,,,,,
1.1,0.420423029,,,,,,,
1.101,0.420503143,,,,,,,
1.102,0.420583144,,,,,,,
1.103,0.420663032,,,,,,,
1.104,0.420742807,,,,,,,
1.105,0.420822469,,,,,,,
1.106,0.420902019,,,,,,,
1.107,0.420981457,,,,,,,
1.108,0.421060783,,,,,,,
1.109,0.421139997,,,,,,,
1.11,0.4212191,,,,,,,
1.111,0.421298092,,,,,,,
1.112,0.421376973,,,,,,,
1.113,0.421455743,,,,,,,
1.114,0.421534403,,,,,,,
1.115,0.421612952,,,,,,,
1.116,0.421691391,,,,,,,
1.117,0.421769721,,,,,,,
1.118,0.421847941,,,,,,,
1.119,0.421926052,,,,,,,
1.12,0.422004053,,,,,,,
1.121,0.422081946,,,,,,,
1.122,0.42215973,,,,,,,
1.123,0.422237406,,,,,,,
1.124,0.422314974,,,,,,,
1.125,0.422392434,,,,,,,
1.126,0.422469786,,,,,,,
1.127,0.42254703,,,,,,,
1.128,0.422624168,,,,,,,
1.129,0.422701198,,,,,,,
1.13,0.422778121,,,,,,,
1.131,0.422854938,,,,,,,
1.132,0.422931649,,,,,,,
1.133,0.423008253,,,,,,,
1.134,0.423084752,,,,,,,
1.135,0.423161145,,,,,,,
1.136,0.423237432,,,,,,,
1.137,0.423313614,,,,,,,
1.138,0.423389691,,,,,,,
1.139,0.423465664,,,,,,,
1.14,0.423541532,,,,,,,
1.141,0.423617295,,,,,,,
1.142,0.423692954,,,,,,,
1.143,0.42376851,,,,,,,
1.144,0.423843961,,,,,,,
1.145,0.423919309,,,,,,,
1.146,0.423994554,,,,,,,
1.147,0.424069696,,,,,,,
1.148,0.424144735,,,,,,,
1.149,0.424219671,,,,,,,
1.15,0.424294505,,,,,,,
1.151,0.424369236,,,,,,,
1.152,0.424443866,,,,,,,
1.153,0.424518394,,,,,,,
1.154,0.42459282,,,,,,,
1.155,0.424667145,,,,,,,
1.156,0.424741368,,,,,,,
1.157,0.424815491,,,,,,,
1.158,0.424889513,,,,,,,
1.159,0.424963434,,,,,,,
1.16,0.425037256,,,,,,,
1.161,0.425110976,,,,,,,
1.162,0.425184597,,,,,,,
1.163,0.425258119,,,,,,,
1.164,0.42533154,,,,,,,
1.165,0.425404863,,,,,,,
1.166,0.425478086,,,,,,,
1.167,0.425551211,,,,,,,
1.168,0.425624236,,,,,,,
1.169,0.425697164,,,,,,,
1.17,0.425769992,,,,,,,
1.171,0.425842723,,,,,,,
1.172,0.425915356,,,,,,,
1.173,0.425987891,,,,,,,
1.174,0.426060329,,,,,,,
1.175,0.426132669,,,,,,,
1.176,0.426204913,,,,,,,
